中文,英文
你要去北京吗,Are you going to go to beijing? | Are you going to beijing?
你不打算告诉他吗,Aren't you going to tell him?
你给他打电话了吗,Did you call him?
他不打算买车吗,Isn't he going to buy a car?
你在等人吗,Are you waiting for anyone?
你为什么老不听我的,Why don't you listen to me?
他没回来吗,Didn't he come back?
你在找什么东西吗,Are you looking for anything?
他没告诉你吗,Didn't he tell you?
你要买这辆车吗,Are you going to buy the/this car?
他买这辆车了吗,Did he buy the/this car?
他在看电视吗,Is he watching tv?
他昨天为什么没来,Why didn't he come yesterday?
他要买这套房子吗,Is he going to buy the/this house?
你找到他了吗,Did you find him?
他要离开北京吗,Is he going to leave beijing? | Is he leaving beijing?
你平常跑步吗,Do you run?
你不认识他吗,Don't you know him?
