中文,英文
他看起来怎么样,How does he look?
你想吃什么,What do you want to eat?
你需要我的帮助吗,Do you need my help?
他长什么样,What does he look like?
这房子看起来多大,How big does the house look?
他长得像他的爸爸吗,Does he look like his father?
你想他吗,Do you miss him?
他看起来高吗,Does he look tall?
你多喜欢他,How much do you like him?
你想成为什么样的人,What kind of person do you want to be?
你需要什么,What do you need?
我看起来紧张吗,Do i look nervous?
你认识他吗,Do you know him?
你平常都在家吃饭吗,Do you eat at home?
他看起来多高,How tall does he look?
你相信他吗,Do you believe him?
这个房子看起来怎么样,How does the house look?
你老师长什么样,What does your teacher look like?
你觉得他怎么样,What do you think of him?
这房子看起来大吗,Does the house look big?
你多想买这辆车,How much do you want to buy the car?
我看起来怎么样,How do i look?
