中文,英文
你好吗？,How are you?
今天天气很好。,The weather is nice today.
我喜欢学习英语。,I like learning English.
你叫什么名字？,What's your name?
很高兴认识你。,Nice to meet you.
你会说中文吗？,Can you speak Chinese?
我想去旅行。,I want to travel.
这个很好吃。,This is very delicious.
你住在哪里？,Where do you live?
明天见。,See you tomorrow.
谢谢你的帮助。,Thank you for your help.
生日快乐！,Happy birthday!
周末愉快。,Have a nice weekend.
你工作很忙吗？,Are you busy with work?
我喜欢看电影。,I like watching movies.
这个多少钱？,How much is this?
请帮我一下。,Please help me.
你饿了吗？,Are you hungry?
我想喝水。,I want to drink water.
今天星期几？,What day is it today? 
